currSessionId,currGameId,currRoundId,playerId,playerType,playerCurrInvestEcon,playerCurrInvestEnv,envState
"222028SMT['CC', 'CC', 'CI']",25,100,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,30.13999
"222028SMT['CC', 'CC', 'CI']",25,100,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,30.13999
"222028SMT['CC', 'CC', 'CI']",25,99,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,29.83999
"222028SMT['CC', 'CC', 'CI']",25,99,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,29.83999
"222028SMT['CC', 'CC', 'CI']",25,100,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,30.13999
"222028SMT['CC', 'CC', 'CI']",25,101,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,30.51999
"222028SMT['CC', 'CC', 'CI']",25,101,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,30.51999
"222028SMT['CC', 'CC', 'CI']",25,101,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,30.51999
"222028SMT['CC', 'CC', 'CI']",25,102,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,2,3,30.88999
"222028SMT['CC', 'CC', 'CI']",25,102,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,30.88999
"222028SMT['CC', 'CC', 'CI']",25,102,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,30.88999
"222028SMT['CC', 'CC', 'CI']",25,103,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,31.09999
"222028SMT['CC', 'CC', 'CI']",25,103,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,31.09999
"222028SMT['CC', 'CC', 'CI']",25,104,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,31.24999
"222028SMT['CC', 'CC', 'CI']",25,104,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,31.24999
"222028SMT['CC', 'CC', 'CI']",25,103,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,31.09999
"222028SMT['CC', 'CC', 'CI']",25,104,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,31.24999
"222028SMT['CC', 'CC', 'CI']",25,105,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,31.46
"222028SMT['CC', 'CC', 'CI']",25,105,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,31.46
"222028SMT['CC', 'CC', 'CI']",25,105,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,31.46
"222028SMT['CC', 'CC', 'CI']",25,106,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,31.85
"222028SMT['CC', 'CC', 'CI']",25,106,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,31.85
"222028SMT['CC', 'CC', 'CI']",25,106,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,31.85
"222028SMT['CC', 'CC', 'CI']",25,107,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,32.03999
"222028SMT['CC', 'CC', 'CI']",25,107,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,32.03999
"222028SMT['CC', 'CC', 'CI']",25,107,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,32.03999
"222028SMT['CC', 'CC', 'CI']",25,108,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,32.31999
"222028SMT['CC', 'CC', 'CI']",25,108,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,32.31999
"222028SMT['CC', 'CC', 'CI']",25,108,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,32.31999
"222028SMT['CC', 'CC', 'CI']",25,109,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,32.64999
"222028SMT['CC', 'CC', 'CI']",25,109,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,32.64999
"222028SMT['CC', 'CC', 'CI']",25,109,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,32.64999
"222028SMT['CC', 'CC', 'CI']",25,110,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,32.78999
"222028SMT['CC', 'CC', 'CI']",25,110,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,32.78999
"222028SMT['CC', 'CC', 'CI']",25,110,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,32.78999
"222028SMT['CC', 'CC', 'CI']",25,111,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,33.09999
"222028SMT['CC', 'CC', 'CI']",25,112,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,33.38999
"222028SMT['CC', 'CC', 'CI']",25,112,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,33.38999
"222028SMT['CC', 'CC', 'CI']",25,111,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,33.09999
"222028SMT['CC', 'CC', 'CI']",25,111,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,33.09999
"222028SMT['CC', 'CC', 'CI']",25,112,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,33.38999
"222028SMT['CC', 'CC', 'CI']",25,113,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,33.70999
"222028SMT['CC', 'CC', 'CI']",25,113,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,33.70999
"222028SMT['CC', 'CC', 'CI']",25,113,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,33.70999
"222028SMT['CC', 'CC', 'CI']",25,114,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,33.84999
"222028SMT['CC', 'CC', 'CI']",25,114,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,33.84999
"222028SMT['CC', 'CC', 'CI']",25,114,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,33.84999
"222028SMT['CC', 'CC', 'CI']",25,115,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,34.13999
"222028SMT['CC', 'CC', 'CI']",25,115,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,34.13999
"222028SMT['CC', 'CC', 'CI']",25,116,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,34.46999
"222028SMT['CC', 'CC', 'CI']",25,115,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,34.13999
"222028SMT['CC', 'CC', 'CI']",25,116,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,34.46999
"222028SMT['CC', 'CC', 'CI']",25,116,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,34.46999
