currSessionId,currGameId,currGameRoundId,Name,playerId,playerType,amountEnv,amountEcon
241531OVI2Coop1Rand,34,0,,2,AIPlayerRandom,1,4
241531OVI2Coop1Rand,35,0,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,35,0,,2,AIPlayerRandom,5,0
241531OVI2Coop1Rand,35,0,,1,AIPlayerRandom,4,1
241531OVI2Coop1Rand,35,1,,1,AIPlayerRandom,1,4
241531OVI2Coop1Rand,35,1,,2,AIPlayerRandom,4,1
241531OVI2Coop1Rand,35,1,,0,AIPlayerRandom,5,0
241531OVI2Coop1Rand,35,2,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,35,2,,1,AIPlayerRandom,0,5
241531OVI2Coop1Rand,35,2,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,35,3,,1,AIPlayerRandom,3,2
241531OVI2Coop1Rand,35,3,,2,AIPlayerRandom,1,4
241531OVI2Coop1Rand,35,3,,0,AIPlayerRandom,4,1
241531OVI2Coop1Rand,36,0,,1,AIPlayerRandom,3,2
241531OVI2Coop1Rand,36,0,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,36,0,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,36,1,,0,AIPlayerRandom,5,0
241531OVI2Coop1Rand,36,1,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,36,1,,2,AIPlayerRandom,3,2
241531OVI2Coop1Rand,36,2,,0,AIPlayerRandom,5,0
241531OVI2Coop1Rand,36,2,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,36,2,,2,AIPlayerRandom,4,1
241531OVI2Coop1Rand,36,3,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,36,3,,0,AIPlayerRandom,0,5
241531OVI2Coop1Rand,36,3,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,37,0,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,37,0,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,37,0,,2,AIPlayerRandom,5,0
241531OVI2Coop1Rand,37,1,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,37,1,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,37,2,,0,AIPlayerRandom,1,4
241531OVI2Coop1Rand,37,1,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,37,2,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,37,2,,1,AIPlayerRandom,0,5
241531OVI2Coop1Rand,38,0,,0,AIPlayerRandom,1,4
241531OVI2Coop1Rand,38,0,,1,AIPlayerRandom,3,2
241531OVI2Coop1Rand,38,0,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,39,0,,0,AIPlayerRandom,1,4
241531OVI2Coop1Rand,39,0,,1,AIPlayerRandom,1,4
241531OVI2Coop1Rand,39,0,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,40,0,,0,AIPlayerRandom,4,1
241531OVI2Coop1Rand,40,0,,1,AIPlayerRandom,5,0
241531OVI2Coop1Rand,40,1,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,40,1,,1,AIPlayerRandom,1,4
241531OVI2Coop1Rand,40,0,,2,AIPlayerRandom,5,0
241531OVI2Coop1Rand,40,2,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,40,2,,2,AIPlayerRandom,3,2
241531OVI2Coop1Rand,40,1,,2,AIPlayerRandom,5,0
241531OVI2Coop1Rand,40,2,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,40,3,,1,AIPlayerRandom,1,4
241531OVI2Coop1Rand,40,3,,2,AIPlayerRandom,1,4
241531OVI2Coop1Rand,40,3,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,41,0,,0,AIPlayerRandom,4,1
241531OVI2Coop1Rand,41,0,,1,AIPlayerRandom,3,2
241531OVI2Coop1Rand,41,0,,2,AIPlayerRandom,1,4
241531OVI2Coop1Rand,41,1,,1,AIPlayerRandom,3,2
241531OVI2Coop1Rand,41,1,,2,AIPlayerRandom,5,0
241531OVI2Coop1Rand,41,1,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,41,2,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,41,2,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,41,2,,2,AIPlayerRandom,1,4
241531OVI2Coop1Rand,41,3,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,41,3,,1,AIPlayerRandom,4,1
241531OVI2Coop1Rand,41,3,,2,AIPlayerRandom,5,0
241531OVI2Coop1Rand,42,0,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,42,0,,1,AIPlayerRandom,0,5
241531OVI2Coop1Rand,42,0,,2,AIPlayerRandom,3,2
241531OVI2Coop1Rand,43,0,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,43,0,,2,AIPlayerRandom,5,0
241531OVI2Coop1Rand,43,0,,1,AIPlayerRandom,1,4
241531OVI2Coop1Rand,43,1,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,43,1,,1,AIPlayerRandom,0,5
241531OVI2Coop1Rand,43,1,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,43,2,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,43,2,,1,AIPlayerRandom,5,0
241531OVI2Coop1Rand,43,2,,2,AIPlayerRandom,5,0
241531OVI2Coop1Rand,43,3,,0,AIPlayerRandom,4,1
241531OVI2Coop1Rand,43,3,,1,AIPlayerRandom,3,2
