sessionId,currGameId,condition,outcome,env_state,playerId_0_pos,playerId_0_type,playerId_0_econ_state,playerId_0_econ_history_perc,playerId_0_env_history_perc,playerId_1_pos,playerId_1_type,playerId_1_econ_state,playerId_1_econ_history_perc,playerId_1_env_history_perc,playerId_2_pos,playerId_2_type,playerId_2_econ_state,playerId_2_econ_history_perc,playerId_2_env_history_perc
"042038KKZ['CC', 'CC', 'CI']",1848,"['DC', 'DI', 'DI']",VICTORY,0.66,2,Cooperative,0,0,1,0,Cooperative,0.21,0.4,0.6,1,Cooperative,0.11,0.4,0.6
"042038KKZ['CC', 'CC', 'CI']",1849,"['DC', 'DI', 'RANDOM']",VICTORY,0.8000001,2,Cooperative,0,0.1,0.9,1,Cooperative,0.08000001,0.25,0.75,0,AIPlayerRandom,0.19,0.65,0.35
"042038KKZ['CC', 'CC', 'CI']",1850,"['DC', 'RANDOM', 'RANDOM']",VICTORY,0.75,2,Cooperative,0,0.05,0.95,1,AIPlayerRandom,0.07000002,0.3,0.7,0,AIPlayerRandom,0.12,0.35,0.65
"042038KKZ['CC', 'CC', 'CI']",1851,"['DI', 'DI', 'DI']",VICTORY,0.61,2,Cooperative,0.009999998,0.35,0.65,0,Cooperative,0.14,0.4,0.6,1,Cooperative,0.13,0.45,0.55
"042038KKZ['CC', 'CC', 'CI']",1852,"['DI', 'DI', 'RANDOM']",VICTORY,0.57,1,Cooperative,0.16,0.35,0.65,2,Cooperative,0.09,0.25,0.75,0,AIPlayerRandom,0.19,0.6,0.4
"042038KKZ['CC', 'CC', 'CI']",1853,"['DI', 'RANDOM', 'RANDOM']",VICTORY,0.3,2,Cooperative,0,0.25,0.75,0,AIPlayerRandom,0.25,0.55,0.45,1,AIPlayerRandom,0.24,0.55,0.45
"042038KKZ['CC', 'CC', 'CI']",1854,"['RANDOM', 'RANDOM', 'RANDOM']",VICTORY,0.05999997,1,AIPlayerRandom,0.21,0.7,0.3,2,AIPlayerRandom,0.05,0.3,0.7,0,AIPlayerRandom,0.23,0.6,0.4
"042038KKZ['CC', 'CC', 'CI']",1855,"['CC', 'CC', 'CC']",VICTORY,1,0,Competitive,0,0.05,0.95,1,Competitive,0,0.05,0.95,2,Competitive,0,0,1
"042038KKZ['CC', 'CC', 'CI']",1856,"['CC', 'CC', 'CI']",VICTORY,0.95,2,Competitive,0,0.05,0.95,1,Competitive,0,0.05,0.95,0,Competitive,0.04000001,0.35,0.65
"042038KKZ['CC', 'CC', 'CI']",1857,"['CC', 'CC', 'DC']",VICTORY,1,0,Competitive,0,0.1,0.9,1,Competitive,0,0.05,0.95,2,Cooperative,0,0.05,0.95
"042038KKZ['CC', 'CC', 'CI']",1858,"['CC', 'CC', 'DI']",VICTORY,1,1,Competitive,0,0.1,0.9,0,Competitive,0.02,0.2,0.8,2,Cooperative,0,0.2,0.8
"042038KKZ['CC', 'CC', 'CI']",1859,"['CC', 'CC', 'RANDOM']",VICTORY,0.71,2,Competitive,0,0,1,1,Competitive,0,0,1,0,AIPlayerRandom,0.34,0.75,0.25
"042038KKZ['CC', 'CC', 'CI']",1860,"['CC', 'CI', 'CI']",VICTORY,0.6399999,2,Competitive,0,0,1,0,Competitive,0.26,0.5,0.5,1,Competitive,0.22,0.55,0.45
"042038KKZ['CC', 'CC', 'CI']",1861,"['CC', 'CI', 'DC']",VICTORY,0.92,1,Competitive,0,0.1,0.9,0,Competitive,0.14,0.45,0.55,2,Cooperative,0,0.1,0.9
"042038KKZ['CC', 'CC', 'CI']",1862,"['CC', 'CI', 'DI']",VICTORY,0.6999999,2,Competitive,0,0,1,1,Competitive,0.05,0.3,0.7,0,Cooperative,0.19,0.4,0.6
"042038KKZ['CC', 'CC', 'CI']",1863,"['CC', 'CI', 'RANDOM']",VICTORY,0.3999999,2,Competitive,0,0,1,1,Competitive,0.05,0.3,0.7,0,AIPlayerRandom,0.28,0.5,0.5
"042038KKZ['CC', 'CC', 'CI']",1864,"['CC', 'DC', 'DC']",VICTORY,1,0,Competitive,0,0.05,0.95,1,Cooperative,0,0.1,0.9,2,Cooperative,0,0,1
