sessionId,gameId,roundId,playerId,condition,gameState,envState,playerEconState,playerName,playerType,playerInvestEcon,playerInvestEnv,playerInvHistEcon,playerInvHistEnv,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor,mood
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,9,2,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",LOSS,0,0.13,RANDOM,AI-RANDOM,2,3,30,20,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,9,1,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",LOSS,0,0.15,RANDOM,AI-RANDOM,3,2,30,20,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,9,0,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",LOSS,0,0,RANDOM_CMP,AI-RANDOM,2,3,21,29,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",3,0,1,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.37,0.1,RANDOM,AI-RANDOM,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",3,0,2,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.37,0.1,RANDOM,AI-RANDOM,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",3,0,0,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.37,0.14,MCTS,AI-MCTS,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",3,1,1,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.42,0.1,RANDOM,AI-RANDOM,2,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",3,1,0,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.42,0.16,MCTS,AI-MCTS,4,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",3,1,2,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.42,0,RANDOM,AI-RANDOM,0,5,3,7,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",3,2,0,"['MCTS', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.4,0.09000001,MCTS,AI-MCTS,0,5,6,9,,,,,,,,,,,,,,,,,,,,,,,,,
