sessionId,currGameId,condition,outcome,env_state,playerId,pos,type,econ_state,econ_history_perc,env_history_perc,num_played_rounds
"052106CZK['CC', 'CC', 'CI']",28,"['DC', 'DI', 'DI']",VICTORY,0.81,0,0,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.9,467,38,101
"052106CZK['CC', 'CC', 'CI']",29,"['DC', 'DI', 'RANDOM']",LOSS,8.940697E-08,1,2,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,22,298,64
"052106CZK['CC', 'CC', 'CI']",29,"['DC', 'DI', 'RANDOM']",LOSS,8.940697E-08,0,0,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.91,305,15,64
"052106CZK['CC', 'CC', 'CI']",29,"['DC', 'DI', 'RANDOM']",LOSS,8.940697E-08,2,1,AI-RANDOM,0.9,163,157,64
"052106CZK['CC', 'CC', 'CI']",30,"['DC', 'RANDOM', 'RANDOM']",LOSS,0,1,2,AI-RANDOM,0.5599999,38,27,13
"052106CZK['CC', 'CC', 'CI']",30,"['DC', 'RANDOM', 'RANDOM']",LOSS,0,2,1,AI-RANDOM,0.5600001,32,33,13
"052106CZK['CC', 'CC', 'CI']",30,"['DC', 'RANDOM', 'RANDOM']",LOSS,0,0,0,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.83,50,15,13
"052106CZK['CC', 'CC', 'CI']",31,"['DI', 'DI', 'DI']",VICTORY,0.72,2,2,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,23,482,101
"052106CZK['CC', 'CC', 'CI']",31,"['DI', 'DI', 'DI']",VICTORY,0.72,0,0,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,35,470,101
"052106CZK['CC', 'CC', 'CI']",31,"['DI', 'DI', 'DI']",VICTORY,0.72,1,1,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,31,474,101
